Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HTTPS Self Signed Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preload Pending,HSTS Preloaded,Base Domain HSTS Preloaded,Domain Supports HTTPS,Domain Enforces HTTPS,Domain Uses Strong HSTS,Unknown Error
cucciolosport.it,cucciolosport.it,https://www.cucciolosport.it,True,False,,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
cambiscena.it,cambiscena.it,https://cambiscena.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
eosassociazioneculturale.it,eosassociazioneculturale.it,http://eosassociazioneculturale.it,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
cantiereallopera.com,cantiereallopera.com,http://www.cantiereallopera.com,True,False,,True,False,True,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
adalabo.blogspot.com,adalabo.blogspot.com,http://adalabo.blogspot.com,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
info06463.wix.com/dreamingacademy,com/dreamingacademy,http://info06463.wix.com/dreamingacademy,True,True,https://info06463.wixsite.com/dreamingacademy,True,False,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
cripadova.it,cripadova.it,http://www.cripadova.it,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
fantaghiro.org,fantaghiro.org,http://www.fantaghiro.org,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
ilchiosco.pd.it,ilchiosco.pd.it,http://ilchiosco.pd.it,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
associazionejonathans.it,associazionejonathans.it,http://associazionejonathans.it,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
associazioneinfinitamente.it,associazioneinfinitamente.it,http://www.associazioneinfinitamente.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
fantalica.it,fantalica.it,http://fantalica.it,True,True,https://www.fantalica.com/,False,False,False,True,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
teatrodelinutile.com,teatrodelinutile.com,http://www.teatrodelinutile.com,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
motusmundi.it,motusmundi.it,https://www.motusmundi.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
ctg.it,ctg.it,http://ctg.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
associazionemadrugada.wordpress.com/,com/,https://associazionemadrugada.wordpress.com/,True,False,,True,True,False,False,False,False,False,False,True,max-age=15552000,15552000,False,False,False,False,False,True,True,False,False
ctgveneto.it,ctgveneto.it,http://ctgveneto.it,True,True,http://www.ctg.it/Objects/Home1.asp,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
palioarcella.it,palioarcella.it,http://www.palioarcella.it,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
fishmarket.it,fishmarket.it,http://www.fishmarket.it,True,False,,False,False,False,False,True,True,False,True,False,,,False,False,False,False,False,False,False,False,False
museomaaap.it,museomaaap.it,https://museomaaap.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
centrostudisyn.it,centrostudisyn.it,http://www.centrostudisyn.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
peldicarota.it,peldicarota.it,http://www.peldicarota.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
teatropirata.it,teatropirata.it,http://teatropirata.it,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
associazioneplay.it,associazioneplay.it,http://www.associazioneplay.it,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
reitia.org,reitia.org,http://www.reitia.org,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
padovayoga.org,padovayoga.org,http://www.padovayoga.org,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
daccapo.org,daccapo.org,http://www.daccapo.org,True,False,,False,False,False,False,True,True,False,True,False,,,False,False,False,False,False,False,False,False,False
enarmonici.it,enarmonici.it,http://www.enarmonici.it,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
aasu.biz,aasu.biz,http://www.aasu.biz,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
dedicatonlus.info,dedicatonlus.info,http://www.dedicatonlus.info,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
bibbiaperta.it,bibbiaperta.it,http://www.bibbiaperta.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
teatroinvisibile.it,teatroinvisibile.it,http://www.teatroinvisibile.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
meditazionetrascendentale.it,meditazionetrascendentale.it,https://meditazionetrascendentale.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
anpha.it,anpha.it,http://www.anpha.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
deafety.org,deafety.org,http://www.deafety.org,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
